,doc,page,min,max,year,pos,len,blocks_on_page,group
82,Economics-1955-0,10,0.53542072,0.54990214,1955.0,center,0.014481420000000078,10,E5
83,Economics-1955-0,10,0.56242663,0.57769078,1955.0,center,0.01526414999999992,10,E5
84,Economics-1955-0,10,0.59647751,0.8708414999999999,1955.0,center,0.2743639899999999,10,E5
85,Economics-1955-0,10,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,10,E5
86,Economics-1955-0,10,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,10,E5
87,Economics-1955-0,11,0.069667317,0.081800394,1955.0,top,0.012133076999999992,7,E5
88,Economics-1955-0,11,0.070450097,0.079060666,1955.0,top,0.008610568999999998,7,E5
89,Economics-1955-0,11,0.098238744,0.27710372,1955.0,center,0.178864976,7,E5
90,Economics-1955-0,11,0.27749512,0.52876711,1955.0,center,0.25127199,7,E5
91,Economics-1955-0,11,0.53033268,0.87475538,1955.0,center,0.34442269999999997,7,E5
92,Economics-1955-0,11,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,7,E5
93,Economics-1955-0,11,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,7,E5
94,Economics-1955-0,12,0.07084148400000001,0.07945205300000001,1955.0,top,0.008610568999999998,6,E5
95,Economics-1955-0,12,0.069667317,0.07984344700000001,1955.0,top,0.010176130000000005,6,E5
96,Economics-1955-0,12,0.097064577,0.20313111,1955.0,center,0.106066533,6,E5
97,Economics-1955-0,12,0.20508806000000002,0.56477493,1955.0,center,0.35968687,6,E5
98,Economics-1955-0,12,0.56555772,0.87514675,1955.0,center,0.30958902999999993,6,E5
99,Economics-1955-0,12,0.91780823,0.95225048,1955.0,btm,0.03444225000000001,6,E5
100,Economics-1955-0,13,0.06771037,0.081800394,1955.0,top,0.014090023999999993,8,E5
101,Economics-1955-0,13,0.07084148400000001,0.079060666,1955.0,top,0.008219181999999992,8,E5
102,Economics-1955-0,13,0.097455971,0.1812133,1955.0,center,0.08375732899999999,8,E5
103,Economics-1955-0,13,0.18630137,0.51115459,1955.0,center,0.32485321999999994,8,E5
104,Economics-1955-0,13,0.51115459,0.8771037500000001,1955.0,center,0.3659491600000001,8,E5
